adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,m,m,0.321,0.3291,0.3498,6,WSAAHP,5
l,m,h,0.3106,0.2488,0.4405,6,WSAAHP,6
l,h,l,0.4333,0.246,0.3206,6,WSAAHP,7
l,h,m,0.3166,0.3321,0.3513,6,WSAAHP,8
l,h,h,0.3062,0.2517,0.4421,6,WSAAHP,9
m,l,l,0.4548,0.4104,0.1348,6,WSAAHP,10
m,l,m,0.338,0.4965,0.1654,6,WSAAHP,11
m,l,h,0.3276,0.4162,0.2562,6,WSAAHP,12
m,m,l,0.2043,0.4153,0.3804,6,WSAAHP,13
m,m,m,0.1038,0.6651,0.2311,6,WSAAHP,14
m,m,h,0.0771,0.4211,0.5019,6,WSAAHP,15
m,h,l,0.1998,0.4182,0.382,6,WSAAHP,16
m,h,m,0.083,0.5044,0.4126,6,WSAAHP,17
m,h,h,0.0726,0.424,0.5034,6,WSAAHP,18
h,l,l,0.434,0.2497,0.3163,6,WSAAHP,19
h,l,m,0.3172,0.3358,0.3469,6,WSAAHP,20
h,l,h,0.3068,0.2555,0.4377,6,WSAAHP,21
h,m,l,0.1835,0.2546,0.562,6,WSAAHP,22
h,m,m,0.063,0.2559,0.6811,6,WSAAHP,23
h,m,h,0.0563,0.2603,0.6834,6,WSAAHP,24
h,h,l,0.179,0.2575,0.5635,6,WSAAHP,25
h,h,m,0.0622,0.3437,0.5941,6,WSAAHP,26
h,h,h,0.0518,0.2633,0.6849,6,WSAAHP,27
l,l,l,0.7791,0.2174,0.0035,6,RNM,1
l,l,m,0.6799,0.3118,0.0083,6,RNM,2
l,l,h,0.5506,0.4276,0.0218,6,RNM,3
l,m,l,0.4179,0.5352,0.0469,6,RNM,4
l,m,m,0.2905,0.6081,0.1014,6,RNM,5
l,m,h,0.1766,0.6444,0.179,6,RNM,6
l,h,l,0.1016,0.613,0.2854,6,RNM,7
l,h,m,0.0522,0.5357,0.4121,6,RNM,8
l,h,h,0.023,0.4292,0.5478,6,RNM,9
m,l,l,0.6799,0.3118,0.0083,6,RNM,10
m,l,m,0.5506,0.4276,0.0218,6,RNM,11
m,l,h,0.4179,0.5352,0.0469,6,RNM,12
m,m,l,0.2905,0.6081,0.1014,6,RNM,13
m,m,m,0.1766,0.6444,0.179,6,RNM,14
m,m,h,0.1016,0.613,0.2854,6,RNM,15
m,h,l,0.0522,0.5357,0.4121,6,RNM,16
m,h,m,0.023,0.4292,0.5478,6,RNM,17
m,h,h,0.0094,0.3232,0.6674,6,RNM,18
